batch_id,generation_number,total_molecules,pass_count,flag_count,discard_count,pass_pct,mean_reward,max_reward,min_nonzero_reward,mean_sa_score,mean_tanimoto,mean_s_sa,mean_s_nov,mean_s_qed,mean_s_act
gen_000,0,4172,3982,2,188,95.45,0.4346,0.4957,0.02,2.715,,0.8691,0.9549,0.4775,
smoke_test,0,3,3,0,0,100.0,0.4927,0.4953,0.4888,1.65,,0.9853,1.0,0.5,
gen_001,1,4018,3753,69,196,93.4,0.1094,0.5337,0.0,3.031,0.0145,0.8242,0.9375,0.6428,0.2423
gen_002,2,1530,1382,68,80,90.33,0.0778,0.5388,0.0,2.946,0.0384,0.8306,0.9114,0.6139,0.1989
gen_003,3,1283,1166,46,71,90.88,0.0792,0.5388,0.0,2.964,0.0345,0.8259,0.9122,0.6116,0.2044
gen_004,4,2420,2195,81,144,90.7,0.094,0.5388,0.0,3.022,0.0315,0.8142,0.9109,0.6224,0.2316
gen_005,5,6403,5940,187,276,92.77,0.1325,0.7049,0.0,3.051,0.0285,0.825,0.9297,0.6668,0.2705
gen_006,6,6521,6046,197,278,92.72,0.1314,0.7049,0.0,3.047,0.0298,0.8259,0.9289,0.6664,0.2686
gen_007,7,8551,8208,110,233,95.99,0.2242,0.6422,0.0001,3.044,0.0124,0.8463,0.9607,0.7392,0.3686
